Country,Gender,Year,OECD,Life_exp
Argentina,Female,2015,False,80.2
Argentina,Male,2015,False,73.3
Argentina,Total,2015,False,76.8
Argentina,Female,2016,False,79.7
Argentina,Male,2016,False,72.9
Argentina,Total,2016,False,76.3
Argentina,Female,2017,False,80.1
Argentina,Male,2017,False,73.5
Argentina,Total,2017,False,76.8
Argentina,Female,2018,False,80.3
Argentina,Male,2018,False,73.6
Argentina,Total,2018,False,77.0
Argentina,Female,2019,False,80.7
Argentina,Male,2019,False,73.9
Argentina,Total,2019,False,77.3
Argentina,Female,2020,False,79.3
Argentina,Male,2020,False,72.5
Argentina,Total,2020,False,75.9
Argentina,Female,2021,False,78.6
Argentina,Male,2021,False,72.2
Argentina,Total,2021,False,75.4
Argentina,Female,2022,False,79.3
Argentina,Male,2022,False,72.9
Argentina,Total,2022,False,76.1
Australia,Female,2015,True,84.5
Australia,Male,2015,True,80.4
Australia,Total,2015,True,82.4
Australia,Female,2016,True,84.6
Australia,Male,2016,True,80.4
Australia,Total,2016,True,82.4
Australia,Female,2017,True,84.6
Australia,Male,2017,True,80.5
Australia,Total,2017,True,82.5
Australia,Female,2018,True,84.9
Australia,Male,2018,True,80.7
Australia,Total,2018,True,82.7
Australia,Female,2019,True,85.0
Australia,Male,2019,True,80.9
Australia,Total,2019,True,82.9
Australia,Female,2020,True,85.3
Australia,Male,2020,True,81.2
Australia,Total,2020,True,83.2
Australia,Female,2021,True,85.4
Australia,Male,2021,True,81.3
Australia,Total,2021,True,83.3
Australia,Female,2022,True,85.3
Australia,Male,2022,True,81.2
Australia,Total,2022,True,83.2
Austria,Female,2015,True,83.7
Austria,Male,2015,True,78.8
Austria,Total,2015,True,81.3
Austria,Female,2016,True,84.1
Austria,Male,2016,True,79.3
Austria,Total,2016,True,81.8
Austria,Female,2017,True,84.0
Austria,Male,2017,True,79.4
Austria,Total,2017,True,81.7
Austria,Female,2018,True,84.1
Austria,Male,2018,True,79.4
Austria,Total,2018,True,81.8
Austria,Female,2019,True,84.2
Austria,Male,2019,True,79.7
Austria,Total,2019,True,82.0
Austria,Female,2020,True,83.6
Austria,Male,2020,True,78.9
Austria,Total,2020,True,81.3
Austria,Female,2021,True,83.7
Austria,Male,2021,True,78.8
Austria,Total,2021,True,81.3
Austria,Female,2022,True,83.6
Austria,Male,2022,True,79.1
Austria,Total,2022,True,81.4
Austria,Female,2023,True,84.0
Austria,Male,2023,True,79.2
Austria,Total,2023,True,81.6
Belgium,Female,2015,True,83.4
Belgium,Male,2015,True,78.7
Belgium,Total,2015,True,81.1
Belgium,Female,2016,True,84.0
Belgium,Male,2016,True,79.0
Belgium,Total,2016,True,81.5
Belgium,Female,2017,True,83.9
Belgium,Male,2017,True,79.2
Belgium,Total,2017,True,81.6
Belgium,Female,2018,True,83.9
Belgium,Male,2018,True,79.4
Belgium,Total,2018,True,81.7
Belgium,Female,2019,True,84.3
Belgium,Male,2019,True,79.8
Belgium,Total,2019,True,82.1
Belgium,Female,2020,True,83.0
Belgium,Male,2020,True,78.5
Belgium,Total,2020,True,80.8
Belgium,Female,2021,True,84.3
Belgium,Male,2021,True,79.4
Belgium,Total,2021,True,81.9
Belgium,Female,2022,True,83.9
Belgium,Male,2022,True,79.7
Belgium,Total,2022,True,81.8
Belgium,Female,2023,True,84.6
Belgium,Male,2023,True,80.3
Belgium,Total,2023,True,82.5
Brazil,Female,2015,False,77.6
Brazil,Male,2015,False,71.1
Brazil,Total,2015,False,74.3
Brazil,Female,2016,False,77.8
Brazil,Male,2016,False,71.1
Brazil,Total,2016,False,74.4
Brazil,Female,2017,False,78.0
Brazil,Male,2017,False,71.6
Brazil,Total,2017,False,74.8
Brazil,Female,2018,False,78.3
Brazil,Male,2018,False,72.0
Brazil,Total,2018,False,75.1
Brazil,Female,2019,False,78.5
Brazil,Male,2019,False,72.2
Brazil,Total,2019,False,75.3
